,Compound,Negative,Neutral,Positive,Time of Tweet,Tweet,Tweet Count,User
25,0.7783,0.788,0.0,0.212,Sun Apr 01 17:00:03 +0000 2018,"The Las Vegas strip is about to light up brighter than ever before when Country Music’s Party Of The Year® takes over on Sunday, April 15 at 8/7c. Who's ready? #ACMawards https://t.co/EOg51KYH1V",100,@CBS
26,0.7351,0.854,0.0,0.146,Sat Mar 31 18:00:00 +0000 2018,"“If you don’t do something about it, then who are you? … It can happen to anyone.” - @aplusk 

Tonight at 10/9c, a new @48Hours “Live to Tell” takes you inside the world of sex trafficking and introduces you to the heroes helping survivors escape its grip. https://t.co/ZiRmt37WQ9",100,@CBS
27,0.4199,0.938,0.0,0.062,Sat Mar 31 15:30:00 +0000 2018,"Give it up for @KelseaBallerini! This star is one of the Female Vocalist Of The Year nominees and she's ready to take center stage at the 53rd #ACMawards. Tune in on Sunday, April 15 at 8/7c on CBS and CBS All Access. https://t.co/AGmgJfO622",100,@CBS
28,0.6688,0.891,0.0,0.109,Fri Mar 30 16:50:00 +0000 2018,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a neutral background. Use #WomanAmenACM in your post for a chance for it to be included in my #ACMawards performance on April 15 on CBS! Visit: https://t.co/sGl3a68QRF https://t.co/jgW9MIL6Xu,100,@CBS
29,0.0,1.0,0.0,0.0,Thu Mar 29 17:32:40 +0000 2018,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards! Tune in on Sunday, April 15 at 8/7c on CBS and CBS All Access to see them and many others take the stage: https://t.co/1jjWMzBqcg https://t.co/PSNZYJ2Jj2",100,@CBS
30,0.6239,0.903,0.0,0.097,Thu Mar 29 17:30:02 +0000 2018,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of The Year at the 53rd #ACMawards? Find out who will win on Sunday, April 15 at 8/7c on CBS and CBS All Access! https://t.co/erbGk4sBAJ",100,@CBS
31,0.3818,0.8,0.068,0.133,Tue Mar 27 21:00:01 +0000 2018,"Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd #ACMawards. Tune in on Sunday, April 15 at 8/7c on CBS and CBS All Access. https://t.co/Nkq7COYFZi",100,@CBS
32,0.296,0.95,0.0,0.05,Tue Mar 27 17:00:00 +0000 2018,"Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorable hits. Watch Elton John: I’m Still Standing - A GRAMMY®￼ Salute on Wednesday, April 10 at 9/8c on CBS and CBS All Access. #GRAMMYConcert https://t.co/oBdPJbXS3H",100,@CBS
33,0.508,0.88,0.0,0.12,Mon Mar 26 22:14:25 +0000 2018,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",100,@CBS
34,0.0,1.0,0.0,0.0,Mon Mar 26 20:42:48 +0000 2018,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",100,@CBS
35,0.7959,0.786,0.0,0.214,Mon Mar 26 16:59:19 +0000 2018,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,100,@CBS
36,0.807,0.799,0.0,0.201,Mon Mar 26 16:05:18 +0000 2018,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! Watch them all perform live on Sunday, April 15 at 8/7c on CBS and CBS All Access: https://t.co/NfwSXyKlPw https://t.co/X0PHYI0Asq",100,@CBS
37,0.0,1.0,0.0,0.0,Sun Mar 25 23:57:34 +0000 2018,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT #MadamSecretary 10:35ET/9:35C https://t.co/0l3xWcbiWV,100,@CBS
38,0.5754,0.802,0.053,0.145,Sun Mar 25 17:15:25 +0000 2018,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/5u7SBU2Pow,100,@CBS
39,0.5399,0.801,0.0,0.199,Sat Mar 24 22:46:53 +0000 2018,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P,100,@CBS
40,-0.34,0.7,0.185,0.115,Sat Mar 24 22:46:43 +0000 2018,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest,100,@CBS
41,0.7003,0.791,0.0,0.209,Sat Mar 24 22:25:03 +0000 2018,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…",100,@CBS
42,0.0,1.0,0.0,0.0,Sat Mar 24 22:21:37 +0000 2018,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜,100,@CBS
43,0.0,1.0,0.0,0.0,Sat Mar 24 22:21:34 +0000 2018,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…",100,@CBS
44,0.7184,0.667,0.0,0.333,Sat Mar 24 22:21:26 +0000 2018,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest",100,@CBS
45,0.9451,0.58,0.0,0.42,Sat Mar 24 22:21:23 +0000 2018,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…,100,@CBS
46,0.6239,0.909,0.0,0.091,Sat Mar 24 20:00:02 +0000 2018,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nominees for Male Vocalist Of The Year at the 53rd #ACMawards. Find out who will win on Sunday, April 15 at 8/7c on CBS and CBS All Access! https://t.co/FSyGnhk9jC",100,@CBS
47,0.8697,0.765,0.0,0.235,Fri Mar 23 22:33:52 +0000 2018,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9:30PM ET with a FREE trial of CBS All Access: https://t.co/3P85rXLy4b https://t.co/5fFhzLphIM,100,@CBS
